artist,title
minnie riperton,adventures in paradise
the weeknd,true colors
post malone,stay
james leg,drinking too much
grace potter & the nocturnals,colors
stacey kent,a fine romance
tony bennett,it don't mean a thing (if it ain't got that swing)
bob dylan,goin' to acapulco
godsmack,voices
irma thomas,two winters long
bob dylan,lily of the west
marty robbins,i'll have to make some changes
band of skulls,dull gold heart
muse,supermassive black hole
john anderson,seminole wind
demi lovato,you're my favorite song
will.i.am,i like to move it
rory gallagher,i'm not awake yet
jan & dean,dead man's curve
the kingston trio,"oh, yes, oh!"
daniel caesar,superposition
jeff beck,sugar cane
katastro,angels (live in studio)
radioinactive,left handed cigarettes
the black angels,the prodigal sun
88rising,midsummer madness
doyle bramhall,life by the drop
elton john,(gotta get a) meal ticket
ub40,watchdogs
joe pass,nobody else but me
quiet riot,bang your head (metal health)
louis the child,love is alive
jaymes young,habits of my heart
elton john,tower of babel
paula abdul,the promise of a new day
wire,mercy
grand funk railroad,into the sun
tim mcgraw,she never lets it go to her heart
hollywood undead,i don’t wanna die
old 97's,every night is friday night (without you)
a perfect circle,vanishing
colin james,why'd you lie?
uriah heep,high priestess
ronnie self,big fool
meshuggah,monstrocity
nappy roots,country boyz
sarah vaughan,whatever lola wants (lola gets)
tesseract,of matter
waylon jennings,foolin' around
gilbert o'sullivan,too much attention
gary bartz,need your love
joe nichols,take it off
the allman brothers band,old before my time
phil wickham,the secret place
ned's atomic dustbin,grey cell green
milky chance,cocoon
shaggy,get my party on
ac/dc,breaking the rules
michael martin murphey,love affairs
alabama,keep on dreamin'
denise lasalle,"right place, right time"
j-kwon,do the stevie
mc5,call me animal
ricky skaggs,hallelujah i'm ready
the tractors,settin' the woods on fire
vybz kartel,bet mi money
the mavericks,things i cannot change
godsmack,immune
mike pinto,surf tune
the doobie brothers,no stoppin' us now
rise against,give it all
oingo boingo,grey matter
bumpin uglies,bad decisions
the action,in my lonely room
rage against the machine,people of the sun
blues saraceno,when the devil calls
billy currington,walk on
the avett brothers,st. joseph's
the jam,thick as thieves
brand nubian,play it cool
asleep at the wheel,walking the floor over you
long beach dub allstars,my own life
bob marley & the wailers,real situation
between the buried and me,parallax
snarky puppy,bardis
the ventures,gringo
lavern baker,i cried a tear
alice cooper,wind-up toy
halsey,castle
say anything,a walk through hell
g. love & special sauce,making amends
the pharcyde,the e.n.d.
ella fitzgerald,but not for me
aurora,runaway
kelly clarkson,piece by piece
montell jordan,this is how we do it
dinah shore,i'll walk alone
david allan coe,pledging my love
egypt central,citizen radio
the clovers,devil or angel
eisvoleas,ichokratoria zontana (soundacracy)
my morning jacket,if all else fails
jean shepard,hello old broken heart
john lennon,how do you sleep?
popcaan,traumatized
the fall,copped it
cultura profética,¿qué será? / ritmo que pesa / suelta los amarres / revolución en estéreo / lo de más
dan fogelberg,old tennessee
johnny cash,rusty cage
jethro tull,cross-eyed mary
bruce cockburn,pacing the cage
greg brown,just by myself
ub40,madam medusa
nick cannon,gigolo (feat. r. kelly)
lucky dube,together as one
possessed by paul james,color of my bloody nose
johnny cash,the loving gift
bring me the horizon,crucify me
eddie rabbitt,you and i
the go-go's,he's so strange
sam cooke,just for you
dionne warwick,heartbreaker
del the funky homosapien,mistadobalina
santana,freeway
audiodub,tahoe
mac miller,brand name
shirley bassey,till
big daddy kane,'nuff respect
stephen stills,the love gangster
trace adkins,(this ain't) no thinkin' thing
chad & jeremy,yesterdays gone
reks,unlearn
roberta flack,compared to what
scott walker,if you go away
switchfoot,this is your life
the flamingos,"music, maestro, please!"
hieroglyphics,del
toyan,bully dread
tool,undertow
willie nelson,i guess i've come to live here in your eyes
tim mcgraw,tears in the rain
the mamas & the papas,no salt on her tail
alice in chains,i can't remember
the millennium,i'm with you
garbage,#1 crush
brian hyland,sealed with a kiss
the all-american rejects,"swing, swing"
lil wyte,blame it on da bay
harry belafonte,a day in the life of a fool
the cascades,rhythm of the rain
loon,hey woo
michael franks,how i remember you
the dear hunter,this beautiful life
breaking benjamin,rain
billie holiday,violets for your furs
slave,funkentown
bonnie raitt,three time loser
fats domino,your cheatin' heart
tracy chapman,matters of the heart
nuyorican soul,runaway
gord bamford,when your lips are so close
the sound,where the love is
pepper,the invite
the beach boys,all summer long
korn,clown
jordan rakei,nerve
johnny horton,i got a hole in my pirogue
the ventures,mexico
kenny rogers,crazy
charlie palmieri,sandstorm
black rob,pd world tour (feat. puff daddy)
john lee hooker,sittin' here thinkin
ted nugent,stormtroopin'
laura nyro,eli's comin'
guadalcanal diary,litany (life goes on)
kenny rogers,love is what we make it
mac miller,smile back
system of a down,boom!
george strait,round about way
david bowie,watch that man
simon & garfunkel,"so long, frank lloyd wright"
cute is what we aim for,the curse of curves
changing faces,g.h.e.t.t.o.u.t.
mary j. blige,my love
rainbow kitten surprise,cold love
styx,queen of spades
arctic monkeys,my propeller
the smiths,unhappy birthday
"peter, paul and mary",going to the zoo
shane & shane,you're beautiful
russell dickerson,billions
tears for fears,swords and knives
delaney & bonnie,comin' home
brian mcknight,the only one for me
the charlie daniels band,the last fallen hero
the black keys,breaking down
vince gill,if i had my way
godsmack,faceless
phil collins,no way out (theme from brother bear)
"peter, paul and mary","i have a song to sing, o!"
pixies,allison
jah shaka,verse 1
louis prima,the music goes 'round and around
pablo cruise,tonight my love
the birthday party,"6"" gold blade"
stone sour,gone sovereign
ella fitzgerald,blue skies
travis scott,can't say
dusty springfield,son of a preacher man
depeche mode,halo
korn,make me bad
glenn miller,beat me daddy eight to the bar
elvis presley,wooden heart
the kinks,where have all the good times gone
the animals,many rivers to cross
dream theater,panic attack
the righteous brothers,for sentimental reasons
owen gray,please don't make me
brand new,good to know that if i ever need attention
midtown,give it up
sister rosetta tharpe,cain't no grave hold my body down
eddie rabbitt,years after you
ziggy marley & the melody makers,new time & age
crazy p,heartbreaker
otis redding,i want to thank you
ray price,please don't leave me
rancid,maxwell murder
billy squier,rich kid
delbert mcclinton,got you on my mind
conway twitty,our conscience you and me
martina mcbride,how far
the white stripes,red bowling ball ruth
mark knopfler,sailing to philadelphia
clint black,nothing's news
nrbq,captain lou
donovan,josie
gillian welch,look at miss ohio
michael franti & spearhead,chocolate supa highway
black rebel motorcycle club,we're all in love
slim smith,it's alright
arcadia,election day
a flock of seagulls,wishing (if i had a photograph of you)
t-bone walker,how long blues
johnny pacheco,agua de clavelito
snoop lion,rebel way
rhett akins,a thousand memories
the jesus and mary chain,about you
april wine,big city girls
eric clapton,cryin'
burning spear,old timer
tears for fears,year of the knife
the skatalites,two for one
minutemen,do you want new wave or do you want the truth
prince buster,lucky 7
the hollies,love makes the world go round
built to spill,the plan
anthrax,"be all, end all"
dean martin,blue smoke (kohu-auwahi)
akon,lonely
311,inside our home
lesley gore,i would
main one,check da skillz
widespread panic,new blue
kxng crooked,one more time
mighty diamonds,bad boy business
bee gees,(our love) don't throw it all away
thank you scientist,prologue: a faint applause...
limp bizkit,rollin' (air raid vehicle)
"bobby ""blue"" bland",get your money where you spend your time
webb pierce,in the jailhouse now
dean martin,cha cha cha d´amour
mr. vegas,i am blessed
black moon,u da man feat. mad lion & smif-n-wessun
skillet,savior
tiffany,all this time
patrick sweany,them shoes
wanda jackson,slippin' and slidin'
nine inch nails,the becoming
keb' mo',life is beautiful
kelis,milkshake
eagles of death metal,kiss the devil
widespread panic,thin air (smells like mississippi)
the holdup,would you
kelly clarkson,because of you
the alan parsons project,some other time
iron maiden,seventh son of a seventh son
josé feliciano,loving her was easier
kenny loggins,the last unicorn
the subdudes,big chief
dean martin,be honest with me
love,a message to pretty
the black crowes,what is home
jonathan butler,barenese
edie brickell & new bohemians,she
boogie down productions,the style you haven't done yet
jackie wilson,"a woman, a lover, a friend"
dave matthews band,seek up
the supremes,baby love
dave matthews band,what would you say
barry manilow,i made it through the rain
tito nieves,i'll always love you
lee ann womack,does my ring burn your finger
oingo boingo,on the outside
manfred mann's earth band,drowning on dry land/fish soup
patsy cline,your cheatin' heart
avicii,the days
rufus,better days
the movement,no wood
mad season,river of deceit
nine inch nails,right where it belongs
tool,ticks & leeches
xtc,making plans for nigel
the oak ridge boys,i wish you could have turned my head (and left my heart alone)
johnny cash,goodbye little darling
we are scientists,after hours
stephen marley,master blaster (jammin')
the crusaders,street life
death cab for cutie,bend to squares
julee cruise,i remember
the expendables,24/7
tony bennett,give me the simple life
breaking benjamin,so cold
simply red,for your babies
ramones,poison heart
beres hammond,pull up vibes
g. love & special sauce,let the music play
the verve,lucky man
we the kings,queen of hearts
kenny rogers,together again
jimi hendrix,manic depression
eagles,all night long
astrud gilberto,didn't we
don gibson,midnight
"earth, wind & fire",can't hide love
faith hill,piece of my heart
billie holiday,embraceable you
bright eyes,land locked blues
seether,walk away from the sun
louis armstrong,aunt hagar's blues
blue six,pure
lee greenwood,america
the wombats,kill the director
peter frampton,rise up
the rolling stones,sing this all together
dorothy,medicine man
wailing souls,get real
h.e.r.,every kind of way
the marshall tucker band,now she's gone
nina simone,last time for love
the feelies,slipping (into something)
billy bragg,island of no return
the neighbourhood,female robbery
vince gill,take your memory with you
dj khaled,"you stay (feat. meek mill, j balvin, lil baby & jeremih)"
big maybelle,goin' home baby
four tops,it's all in the game
chris ledoux,he's a tryer
sturgill simpson,living the dream
billie holiday,what is this thing called love
morphine,cure for pain
lana del rey,summertime sadness (lana del rey vs. cedric gervais)
chuck berry,still got the blues
peggy lee,why don't you do right (get me some money too)
ty segall,the arms
george strait,a fire i can't put out
the notorious b.i.g.,suicidal thoughts
pepper,big mistake
hank mobley,up a step
"royce da 5'9""",on the run
the dave brubeck quartet,someday my prince will come
bob baldwin,too late
a tribe called quest,hot sex
egypt central,white rabbit
38 special,if i'd been the one
george jones,long time to forget
astrud gilberto,my foolish heart
chevelle,the red
the rippingtons,age of reason
gino washington,around the town
nat king cole,i'm shooting high
soulfly,jumpdafuckup
midnite,bless
have a nice life,bloodhail
new order,your silent face
michael henderson,in the night-time
pat travers,matrial eyes
walt weiskopf,soul eyes
the animals,how you've changed
bobby bare,in the hills of shiloh
lefty frizzell,the long black veil
ella fitzgerald,bli-blip
the dear hunter,we've got a score to settle
the cold stares,under his command
the jeff healey band,hell to pay
the psychedelic furs,imitation of christ
johnny mathis,in other words (fly me to the moon)
eddie kendricks,let me run into your lonely heart
bastille,blame
chris ledoux,navajo wrangler
england dan,broken hearted me
sheena easton,sugar walls
dolly parton,high sierra
sara evans,better off (feat. vince gill)
mavado,peppa
black pistol fire,coattails
arcade fire,afterlife
large professor,stay chisel
primer 55,loose
ufo,money money
midland,cheatin’ songs
paul anka,don't ever leave me
pablo cruise,i just wanna believe
donovan,changes
ugk,it's supposed to bubble
2pac,if my homie calls
the wood brothers,walkaway
marty robbins,ribbon of darkness
gene chandler,baby that's love
cinderella,nothin' for nothin'
the jam,ghosts
swingrowers,that's right!
rush,grand designs
calexico,corona
the doobie brothers,mamaloi
alice cooper,i am the future
al jarreau,across the midnight sky
kenny chesney,happy on the hey now (a song for kristi)
stephen stills,so begins the task
seals and crofts,one more time
the rolling stones,not fade away
josh turner,in my dreams
queens of the stone age,better living through chemistry
my bloody valentine,off your face
eraserheads,hard to believe
orleans,you've given me something
coleman hawkins,smoke gets in your eyes
the replacements,treatment bound
webb pierce,there stands the glass
great white,house of broken love
natalie grant,king of the world
the band,i shall be released (finale)(ensemble)
black pistol fire,busted and blue
jack white,i think i found the culprit
jefferson airplane,the last wall of the castle
sanchez,here i am
skid row,here i am
ricky nelson,don't leave me
cab calloway,tarzan of harlem
queen,fight from the inside
adele,hiding my heart
a$ap rocky,phoenix
tanya tucker,just another love
etta james,holding back the years
grandson,6:00
dolly parton,love and learn
frank ocean,thinkin bout you
silver jews,pet politics
bring me the horizon,chelsea smile
the platters,don't forget
john anderson,the arms of a fool
arc angels,living in a dream
eagles,love will keep us alive
weezer,crab
roy orbison,california blue
baillie & the boys,safe in the arms of love
connie smith,there goes my everything
culture,holy mount zion
sex pistols,holidays in the sun
johnny rodriguez,that's the way love goes
steve young,my sweet love ain't around
carole king,home again
the kinks,(wish i could fly like) superman
drive-by truckers,a ghost to most
iron maiden,the duellists
green day,worry rock
kacey musgraves,good ol' boys club
my bloody valentine,i can see it (but i can't feel it)
demi lovato,stone cold
the doobie brothers,one by one
lata mangeshkar,panchhi banoon udti phiroon
godsmack,running blind
susie arioli,blue skies
professor longhair,mess around
chris stapleton,tryin' to untangle my mind
for king & country,shoulders
masicka,dem ago dead
pete townshend,the real me
jean shepard,i'll never be free
ghantasala,choopula kalasina subhavela
eric paslay,less than whole
billie jo spears,what i've got in mind
hank williams,the blues come around
dee clark,nobody but you
waylon jennings,the crown prince
eric clapton,blue eyes blue
the 1975,settle down
caro emerald,dr. wanna do
elmore james,the sky is crying
clint black,still holding on (with martina mcbride)
ocean alley,bones
the stooges,real cool time
cage the elephant,soil to the sun
joe bonamassa,what i've known for a very long time
ray price,pins and needles
caravan palace,comics
diana krall,i've got the world on a string
bing crosby,moonlight bay
marty robbins,some memories just won't die
alborosie,herbalist
booker t. & the m.g.'s,let's go get stoned
fuel,sunburn
funkadelic,super stupid
pete townshend,save it for later
canned heat,that's all right mama
the hip abduction,crazy
damian marley,nail pon cross
the blackwater fever,can't help yourself
tedeschi trucks band,sweet and low
the cab,temporary bliss
florida georgia line,wish you were on it
casey donahew,regrets
miranda lambert,greyhound bound for nowhere
"crosby, stills & nash",house of broken dreams
12 stones,world so cold
bill evans trio,my foolish heart
go radio,rolling in the deep
ol' burger beats,set it
ziggy marley & the melody makers,today
michael franks,loving you more and more
denzel curry,gook
katy perry,unconditionally
phil vassar,somewhere in between
steve tyrell,give me the simple life
the kinks,do you remember walter?
mariah carey,thank god i found you (feat. joe & 98°)
greensky bluegrass,road to nowhere
craig campbell,outta my head
the hollies,what a life i've led
john holt,doctor love
bobby vee,devil or angel
the record company,baby i'm broken
four tops,bernadette
junior wells,little by little
travis scott,yosemite
the marshall tucker band,virginia
richard marx,chains around my heart
dean martin,all i have to give you is my love
paul davis,keep our love alive
dusty springfield,wishin' and hopin'
francesca battistelli,giants fall
elvis presley,judy
jordan davis,tough to tie down
soul coughing,super bon bon
johnny cash,accidentally on purpose
foo fighters,monkey wrench
fairport convention,time will show the wiser
ann hampton callaway,slow
luke bryan,first love song
randy rogers band,i never meant to break your heart
t.g. sheppard,devil in the bottle
shinedown,outcast
the impressions,i'm loving nothing
little feat,walkin' all night
the itals,love affair
jon pardi,heartache medication
morcheeba,slow down
all them witches,bulls
brett young,here tonight
the record company,night games
deeb,jazzclub atmosphere
luciano,i can you can
the roots,mellow my man
jerry lee lewis,play me a song i can cry to
michael jackson,hold my hand
widespread panic,trouble
pat boone,if dreams came true
wayne wonder,intro
chet atkins,limehouse blues
mishka,long road
sturgill simpson,the dead don't die
gentle giant,the runaway
pennywise,fight till you die
johnny cooper,paper boy
chris ledoux,melodies and memories
joan baez,i live one day at a time
thin lizzy,leave this town
deerhunter,he would have laughed
carole king,smackwater jack
love and theft,whiskey on my breath
jelly roll,heaven
capleton,pure woman
bryan ferry,2hb
queensrÿche,speak
ella fitzgerald,alexander's ragtime band
marty robbins,hawaiian bells
bullet for my valentine,tears don't fall
pat benatar,hit me with your best shot
johnny cash,tell him i'm gone
tammy wynette,i still believe in fairy tales
the vines,animal machine
lata mangeshkar,kahan se yeh sholon ka toofan aaya
simon & garfunkel,bye bye love
pet shop boys,always on my mind / in my house
the national,start a war
matchbox twenty,shame
brooks & dunn,more than a margarita
a tribe called quest,mobius
spoonie gee,hit man
iron maiden,run to the hills
ty segall,i sing them
"blood, sweat & tears",you've made me so very happy
kenny rogers,i want to make you smile
phish,the mango song
james taylor,don't let me be lonely tonight
sammy kershaw,love of my life
black roots,the father
aqua,around the world
johnny cash,i'd still be there
hollywood undead,whatever it takes
albert collins,when the welfare turns its back on you
j.j. cale,guitar man
nelly,nellyville
king crimson,i talk to the wind
brick & lace,never never
swing republic,fall
duke ellington,prelude to a kiss
breaking benjamin,i will not bow
radiohead,packt like sardines in a crushed tin box
ronnie milsap,we're here to love
anthrax,i'm the man
rise against,from heads unworthy
junior brown,party lights
elton john,rotten peaches
the tymes,my summer love
the stooges,1969
tetrack,isn't it time
the allman brothers band,pegasus
bruce springsteen,point blank
a$ap ferg,wam
dean martin,my heart cries for you
dean martin,you're breaking my heart (mattinata)
cowboy junkies,hold on to me
cassadee pope,torn
vintage trouble,gracefully
nanci griffith,morning song for sally
merle haggard,if i had left it up to you
the heavy,fire
george benson,"here, there and everywhere"
blondie,rifle range
gene pitney,it hurts to be in love
mikey dread,time waster
billy bragg,birds and ships (feat. natalie merchant)
chuck berry,little star
metallica,slither
james cotton,down home blues
mobb deep,freestyle
free,songs of yesterday
john anderson,till i get used to the pain
primus,to defy the laws of tradition
nils landgren funk unit,freak u
bad company,do right by your woman
billy joel,"summer, highland falls"
aaron watson,outta style
reba mcentire,it's not over (if i'm not over you)
slim thug,hoggs on da grind
pieces of a dream,easy road home
pat benatar,we belong
steel pulse,dub marcus say
santana,"deeper, dig deeper"
the rapture,echoes
gorguts,"with their flesh, he'll create"
lesley gore,leave me alone
the neighbourhood,honest
ginuwine,differences
steve wariner,the domino theory
the box tops,the letter
the guess who,follow your daughter home
marty robbins,knee deep in the blues
green day,no pride
collin raye,dreaming my dreams with you
xtc,towers of london
charley pride,someone loves you honey
tenacious d,rock your socks
dead obies,where they @
billy bragg,levi stubbs' tears
ballyhoo!,instigator
nightmares on wax,give thx
blue öyster cult,career of evil
benjamin booker,overtime
wifisfuneral,jackie chan
diamond rio,this romeo ain't got julie yet
drake,preach
todd terry,survivor
etta james,it hurts me so much
mo kalamity,vision
rosemary clooney,how about you?
dolly parton,detroit city
julian sas,blues for j
vince gill,ridin' the rodeo
rod stewart,(find a) reason to believe
owane,born in space
jahmiel,gain the world
tina turner,i can't stand the rain
merle haggard,tulare dust
the seeds,just let go
christafari,surrender
the byrds,life in prison
dj shadow,mutual slump
katastro,flashbacks
nightmares on wax,date with destiny
gene autry,home on the range
alice cooper,scarlet and sheba
lamb,gorecki
hank thompson,let me call you sweetheart
lorne greene,fourteen men
peabo bryson,a whole new world (aladdin's theme)
neil young,tired eyes
dean martin,i've grown accustomed to her face
the kinks,powerman
the green,alive
parov stelar,le piaf
kiss,i love it loud
kanye west,celebration
leonard cohen,i tried to leave you
oscar peterson,time on my hands
george jones,just when i needed you
silver jews,ballad of reverend war character
buddy guy,done got old
patty loveless,timber i'm falling in love
moodymann,i can't kick this feeling when it hits
goldfish,take back tomorrow
jason aldean,gettin' warmed up
carl smith,there she goes
mose allison,your molecular structure
orbient,boarding
the expendables,one night stand
todd rundgren,just another onionhead / da da dali
cliff richard & the shadows,i'm walkin'
sonny & cher,it's the little things
tom t. hall,that's how i got to memphis
ezra collective,chapter 7 (feat. ty)
chet atkins,sweet dreams
jason gray,remind me who i am
chet baker,i get along without you very well (except sometimes)
the stranglers,(get a) grip (on yourself)
roy orbison,night life
herman's hermits,just a little bit better
stonewall jackson,hungry for love
green day,holiday / boulevard of broken dreams
boney james,send one your love
the meters,down by the river
mr. bungle,pink cigarette
graham nash,there's only one
keith whitley,i would have loved you all night long
deca,donner bell
wade bowen,red headed woman
son volt,caryatid easy
hank williams,i wish i had a nickel
china crisis,wishful thinking
ashanti,foolish
cas haley,survive
steve oliver,feeling good
swv,weak
ub40,bring it on home to me
robert cray,times makes two
radiohead,the bends
can't hang,ruff tuff
the marshall tucker band,jimi
bruce springsteen,if i should fall behind
blancmange,blind vision
gloria estefan,don't wanna lose you
dennis brown,let love in
coco montoya,nothing but love
def leppard,too late for love
alesso,remedy
martina mcbride,safe in the arms of love
seether,breakdown
fourplay,sunday morning
the brothers four,sama kama wacky brown
joe williams,every day i have the blues (with joe williams)
kay starr,"""it’s a good day"""
bob dylan,i dreamed i saw st. augustine
grand funk railroad,nowhere to run
dennis wilson,all alone
galactic,does it really make a difference (feat. mavis staples)
eric clapton,better make it through today
the dead weather,no horse
between the buried and me,lay your ghosts to rest
brick,right back
buddy holly,i'm gonna love you too
peter gabriel,slowburn
the statler brothers,pictures
the microphones,"the glow, pt. 2"
special ed,neva go back
molly hatchet,sweet dixie
green day,21 guns
between the buried and me,selkies: the endless obsession
for king & country,priceless
curtis fuller,vonce #5
the dillinger escape plan,mouth of ghosts
peter tosh,wanted dread and alive
a perfect circle,the hollow
the smashing pumpkins,daydream
mac miller,senior skip day
neon indian,deadbeat summer
merle haggard,walking the floor over you
the jeff healey band,angel
the kinks,tired of waiting for you
bobby bare,homestead on the farm
alice in chains,sea of sorrow
ahmad jamal,easy to love
tammy wynette,it could've been so good
joe pass,night and day
blink-182,feeling this
shinedown,sound of madness
jackson c. frank,you never wanted me
bush,glycerine
nicole henry,moon river
boom boom vibration,dem know
the rolling stones,i am waiting
herbie hancock,the tea leaf prophecy (lay down your arms)
louis prima,if you were the only girl
old 97's,king of all the world
third day,cry out to jesus
hiatus kaiyote,ocelot
tesseract,smile
uriah heep,easy livin'
tesla,edison's medicine
10cc,lazy ways
elvis costello & the attractions,i can't stand up for falling down
boston,it's easy
the parlor mob,tide of tears
billy ocean,loverboy
peggy lee,a doodlin' song
sugarland,what i'd give
rise against,satellite
little river band,cool change
quincy jones,walking in space
boogie down productions,the blueprint
suicide,che
us3,i go to work
andy williams,i'm old fashioned
"blood, sweat & tears",somethin' goin' on
sarah vaughan,my reverie
the mad lads,cry baby
talking heads,love for sale
van halen,good enough
don williams,some broken hearts never mend
primus,jerry was a race car driver
yellowjackets,claire's song
love,hummingbirds
dolly parton,once in a very blue moon
oingo boingo,you really got me
oscar peterson,how high the moon
muddy waters,blow wind blow
gene clark,white light
dead moon,on my own
the dead weather,the difference between us
remy ma,get at me
zendaya,replay
easy star all-stars,time (feat. corey harris & ranking joe)
the libertines,don’t look back into the sun
turnpike troubadours,long hot summer day
mims,this is why i'm hot
the animals,bury my body
tony yayo,pimpin'
electronic,get the message
the gladiators,bumping and boring
the cleaners from venus,tukani (monday is grey)
onerepublic,i lived
brenda lee,fly me to the moon
the impressions,fool for you
the offspring,bad habit
rainbow,all night long
david axelrod,a dream
pantera,this love
louis armstrong,the song is ended
bob wills,my adobe hacienda
mark chesnutt,blame it on texas
judas priest,some heads are gonna roll
silverstein,my heroine
richard marx,right here waiting
"harry connick, jr.",buried in blue
johnny cash,let me down easy
maddie & tae,downside of growing up
gladys knight & the pips,best thing that ever happened to me
sammy hagar,remember the heroes
jeff beck,situation
keb' mo',imagine
thirty seconds to mars,up in the air
the beatnuts,find us (in the back of the club)
beach house,space song
"hank williams, jr.",give a damn
clinton fearon,stop the hate
steve earle,when i fall
supersuckers,the fight song
the black angels,the executioner
third eye blind,narcolepsy
ritchie valens,rockin' all night
zz top,sleeping bag
uncle kracker,hey hey hey
steve miller band,winter time
bow wow,basketball
andy williams,tonight
story of the year,and the hero will drown
blondie,(i'm always touched by your) presence dear
backstreet boys,i'll never break your heart
the everly brothers,"gone, gone, gone"
rivermaya,214
the avett brothers,february seven
gerry & the pacemakers,how do you do it?
michael jackson,tabloid junkie
terror x crew,take it as you want (parto opos thes)
anthony gomes,come down
gene chandler,from day to day
patra,either or either
johnny burnette,cincinnati fireball
the drifters,drifting away from you
van dyke parks,jack palance
mick fleetwood,not fade away
louis prima,that's my home
boz scaggs,another day (another letter)
"earth, wind & fire",be ever wonderful
blink-182,give me one good reason
blondie,accidents never happen
the new birth,pains of love
eddie vedder,long nights
django reinhardt,tears
beth hart,better man
green day,bang bang
danger danger,don't walk away
galactic,church
hiatus kaiyote,mobius streak
zz top,leila
38 special,stone cold believer
soja,i've got time
big & rich,that's why i pray
tenacious d,kielbasa
bone thugs-n-harmony,i'm not that nigga!
nirvana,scentless apprentice
frank zappa,america drinks
jamie berry,old records
avicii,i could be the one (avicii vs. nicky romero)
funkadelic,maggot brain
johnny clarke,i man come again
grateful dead,cold rain and snow
the spaniels,"goodnite sweetheart, goodnite"
randy rogers band,this is goodbye
drake,energy
between the buried and me,obfuscation
billy bragg,it must be a river
america,children
phyllis dillon,a thing of the past
glen campbell,dreams of the everyday housewife
tammy wynette,he's just an old love turned memory
50 cent,just a lil bit
america,only in your heart
wynonna,no one else on earth
blossom dearie,everything i've got
spandau ballet,only when you leave
702,steelo
cage the elephant,how are you true
the elgins,heaven must have sent you
blockhead,expiration date
the moody blues,our guessing game
shania twain,the woman in me (needs the man in you)
nazareth,local still
yazmin lacey,something my heart trusts
zz top,blue jean blues
lee ann womack,"never again, again"
queen,save me
blink-182,always
3lw,playas gon' play
ella fitzgerald,who walks in when i walk out?
dave van ronk,would you like to swing on a star?
tesseract,lament
the beach boys,good timin'
the gourds,gangsta lean
trampled by turtles,wait so long
ween,i'll be your jonny on the spot
migos,notice me
38 special,back door stranger
ray price,don't you believe her
alison moyet,is this love?
david bowie,sound and vision
flofilz,bassment jazz
canaan smith,like you that way
robert earl keen,the coldest day of winter
bastille,flaws
a great big world,you
elmore james,person to person
alborosie,lie
robert plant,down to the sea
etta jones,something to remember you by
janie fricke,down to my last broken heart
yes,"i've seen all good people: a. your move, b. all good people"
goodbye june,good side
sonny boy williamson ii,all my love in vain
kyle park,somebody’s trying to steal my heart
kool moe dee,how ya like me now (re-recorded / remastered)
leonard cohen,lover lover lover
